Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
59129,59331,ANB2,Onshore Wind Turbine,WT,W,X,X,1.60,,1.60,1.60,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,10M
59900,59332,MSCRK,Onshore Wind Turbine,WT,S,X,X,211.20,0.90,211.20,211.20,0.00,N,OP,X,,,N,X,WND,,,,,,,,,,
59132,59333,FAIS1,Solar Photovoltaic,PV,S,X,X,2.00,,2.00,2.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58468,59334,INV-1,Solar Photovoltaic,PV,J,X,X,18.00,,18.00,18.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59135,59335,GEN1,Other Waste Biomass,IC,S,X,X,1.90,0.85,1.90,1.90,0.50,N,OP,X,,,Y,T,OBG,,NG,,,,,,,,1H
59462,59337,HHS1,Solar Photovoltaic,PV,S,X,X,5.00,,5.00,5.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56964,59338,CTG1,Natural Gas Fired Combined Cycle,CT,S,X,N,174.00,0.85,146.00,163.00,70.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
56964,59338,CTG2,Natural Gas Fired Combined Cycle,CT,S,X,N,174.00,0.85,146.00,163.00,70.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
56964,59338,CTG3,Natural Gas Fired Combined Cycle,CT,S,X,N,174.00,0.85,146.00,163.00,70.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
56964,59338,CTG4,Natural Gas Fired Combined Cycle,CT,S,X,N,174.00,0.85,146.00,163.00,70.00,N,OP,X,,,N,X,NG,,,,,,,,,,12H
56964,59338,ST10,Natural Gas Fired Combined Cycle,CA,S,Y,X,271.00,0.85,223.00,227.00,46.00,N,OP,X,,,N,X,NG,,,,,,NG,,,,12H
56964,59338,ST9,Natural Gas Fired Combined Cycle,CA,S,Y,X,271.00,0.85,223.00,227.00,46.00,N,OP,X,,,N,X,NG,,,,,,NG,,,,12H
59138,59339,SSC13,Solar Photovoltaic,PV,S,X,X,108.00,,105.10,76.80,,N,OP,X,,,N,X,SUN,,,,,,,,,,10M
59140,59357,FRNCS,Conventional Hydroelectric,HY,S,X,X,1.40,0.90,1.40,1.40,0.40,N,OP,X,,,N,X,WAT,,,,,,,,,,10M
59140,59357,KAPLN,Conventional Hydroelectric,HY,S,X,X,6.10,0.90,6.10,6.10,1.80,N,OP,X,,,N,X,WAT,,,,,,,,,,10M
59141,59358,MA2,Solar Photovoltaic,PV,S,X,X,3.00,,2.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59139,59359,10400,Solar Photovoltaic,PV,W,X,X,1.50,0.99,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59139,59360,11113,Solar Photovoltaic,PV,W,X,X,1.00,0.99,1.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59361,PV1,Solar Photovoltaic,PV,S,X,X,1.40,,1.40,1.40,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59362,PV1,Solar Photovoltaic,PV,S,X,X,1.40,,1.40,1.40,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59363,PV1,Solar Photovoltaic,PV,S,X,X,1.40,,1.40,1.40,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59364,PV1,Solar Photovoltaic,PV,S,X,X,1.30,,1.30,1.30,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59365,PV1,Solar Photovoltaic,PV,S,X,X,4.90,,4.90,4.90,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59366,PV1,Solar Photovoltaic,PV,J,X,X,8.50,,8.50,8.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59367,PV1,Solar Photovoltaic,PV,S,X,X,1.10,,1.10,1.10,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59368,PV1,Solar Photovoltaic,PV,S,X,X,2.20,,2.20,2.20,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59369,PV1,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
