Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name
4468,Crestwood Corp,54985,Crestwood Dothan,517 Kraft Rd,Dothan,AL,36303,Houston,31.262356,-85.402737,SERC,SOCO,Southern Company Services Inc. - Trans,Municipality,22,NR,2,IPP Non-CHP,,N,,N,,N,,N,X,,City of Dothan - (AL),5309,AL,13.20,,,
18642,Tennessee Valley Authority,6151,Raccoon Mountain,Cummings Highway,Chattanooga,TN,37419,Hamilton,35.055795,-85.387934,SERC,TVA,Tennessee Valley Authority,Tennessee River Nickajack Rese,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,161.00,,,
4413,Cox Interior Inc,54850,Cox Waste to Energy,1001 New Columbia Rd,Campbellsville,KY,42718,Taylor,37.320800,-85.361100,SERC,PJM,PJM Interconnection LLC,Municipality/ Private Lake,321,NR,7,Industrial CHP,,N,,Y,92-206-000,N,,N,X,,Taylor County Rural E C C,18498,KY,12.47,,,
58170,Cargill Salt Hersey,58196,Cargill Salt Hersey,1395 135th Ave,Hersey,MI,49639,Osceola,43.834167,-85.355833,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Wells,2123,NR,7,Industrial CHP,,N,,N,,N,,N,X,,Great Lakes Energy Coop,38084,MI,4.16,,,"Kalkaska-Woolfolk 30"" Pipeline"
11268,City of Lowell - (MI),58254,Chatham,625 Chatham,Lowell,MI,49331,Kent,42.934444,-85.347500,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Municipality Water System,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of Lowell - (MI),11268,MI,138.00,,,Consumers Energy.
7140,Georgia Power Co,708,Hammond,5963 Alabama Hwy. SW.,Rome,GA,30129,Floyd,34.252800,-85.345600,SERC,SOCO,Southern Company Services Inc. - Trans,Coosa River,22,RE,1,Electric Utility,,N,,N,,N,,Y,N,OP,Georgia Power Co,7140,GA,230.00,,,
11268,City of Lowell - (MI),1837,Lowell,127 N. Broadway,Lowell,MI,49331,Kent,42.935000,-85.337800,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Closed Loop Cooling System,22,RE,1,Electric Utility,,N,,N,,N,,,X,,ITC Transmission,56068,MI,138.00,,,
23632,Inland Paperboard - Rome Mill,10426,Inland Paperboard Packaging Rome,238 Mays Bridge Rd,Rome,GA,30165,Floyd,34.252800,-85.327500,SERC,SOCO,Southern Company Services Inc. - Trans,Coosa River,32213,NR,7,Industrial CHP,,N,,N,,N,,Y,N,OP,Georgia Power Co,7140,GA,14.00,,,SCANA
5302,AES Ohio Generation LLC,55229,Montpelier Electric Generating Station,8495 South 450 West,Poneto,IN,46781,Wells,40.620600,-85.305700,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,NR,2,IPP Non-CHP,,N,,N,,Y,04-76-000,N,X,,Indiana Michigan Power Co,9324,IN,345.00,,,Panhandle
13994,Oglethorpe Power Corporation,6189,Rocky Mountain Hydroelectric Plant,4050 Big Texas Valley Rd,Rome,GA,30165,Floyd,34.355538,-85.303942,SERC,SOCO,Southern Company Services Inc. - Trans,Heath Creek,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Georgia Transmission Corp,7197,GA,230.00,,,Sonat 
56437,Heritage Stoney Corners Wind Farm I LLC,57131,Stoney Corners Wind Farm,10252 S. LaChance Road,McBain,MI,49657,Missaukee,44.190000,-85.298300,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,NR,2,IPP Non-CHP,N,N,,Y,08-688-001,N,,,X,,Wolverine Power Supply Coop,20910,,69.00,,,
13994,Oglethorpe Power Corporation,7813,Sewell Creek Energy,1031 Sewel Creek Rd,Cedar Town,GA,30125,Polk,33.948600,-85.276900,SERC,SOCO,Southern Company Services Inc. - Trans,Municipality,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Georgia Transmission Corp,7197,GA,230.00,,,Sonat 
18642,Tennessee Valley Authority,3398,Chickamauga,4601 Amnicola Hwy,Chattanooga,TN,37406,Hamilton,35.101791,-85.229467,SERC,TVA,Tennessee Valley Authority,Tennessee River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,161.00,,,
19781,Viking Energy Corp,50770,Viking Energy of McBain,6751 W. Gerwoude Dr,McBain,MI,49657,Missaukee,44.204000,-85.220600,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Wells,22,NR,2,IPP Non-CHP,,N,,Y,84-399-002,N,,N,X,,Consumers Energy Co,4254,MI,46.00,,,Consumers Energy
58492,Chattanooga Metropolitan Airport,58515,Chattanooga Metropolitan Airport Solar,1001 Airport Road,Chattanooga,TN,37421,Hamilton,35.024583,-85.208617,RFC,TVA,Tennessee Valley Authority,,481,NR,4,Commercial Non-CHP,N,N,,N,,N,,N,X,,City of Chattanooga - (TN),3408,TN,12.00,,,
57427,RockTenn-Battle Creek Mill,58052,Battle Creek Mill,177 Angell St.,Battle Creek,MI,49037,Calhoun,42.322100,-85.204300,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Kalamazoo River,32213,NR,7,Industrial CHP,,N,,N,,N,,N,X,,Consumers Energy Co,4254,MI,46.00,,,Semco 270# on Angell St.
40582,Michigan Public Power Agency,7984,Kalkaska CT #1,1750 Prough Road SW,Kalkaska,MI,49646,Kalkaska,44.688900,-85.201900,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Wolverine Power Supply Coop,20910,,69.00,,,ANR Line 439
27813,USCE-Mobile District,6133,West Point (GA),500 Resource Management Drive,West Point,GA,31833,Troup,32.918674,-85.188700,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,115.00,,,
15470,Duke Energy Indiana LLC,1002,Connersville,RR 2,Connersville,IN,47300,Fayette,39.656100,-85.175800,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Duke Energy Indiana Inc,15470,IN,138.00,,,
7140,Georgia Power Co,711,Langdale,Hwy 29,Valley,AL,36854,Chambers,32.813836,-85.167786,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Georgia Power Co,7140,GA,11.00,,,
19462,USCE-Nashville District,1380,Wolf Creek,980 Power Plant Road,Jamestown,KY,42629,Russell,36.869100,-85.147000,SERC,TVA,Tennessee Valley Authority,Cumberland River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Tennessee Valley Authority,18642,KY,161.00,,,
58385,SR Enterprise South LLC,58401,Volkswagen Solar System,8001 Volkswagen Drive,Chattanooga,TN,37421,Hamilton,35.097500,-85.126944,SERC,TVA,Tennessee Valley Authority,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,X,,City of Chattanooga - (TN),3408,TN,12.47,,,
195,Alabama Power Co,6001,Joseph M Farley,7388 North State Highway 95,Columbia,AL,36319,Houston,31.223100,-85.111600,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Alabama Power Co,195,AL,500.00,,,
9267,Hoosier Energy R E C Inc,59791,Cabin Creek Renewable Energy Station,7256 West County Road 600 S,Modoc,IN,47358,Randolph,40.078500,-85.109800,RFC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Indiana Michigan Power Co,9324,IN,69.00,,,
17650,Southern Power Co,7710,H Allen Franklin Combined Cycle,6109 Lee Road 249,Smiths,AL,36877,Lee,32.607800,-85.097500,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,22,NR,2,IPP Non-CHP,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,230.00,,,SONAT
7172,Georgia-PacificCedar Springs LLC,54101,Georgia-Pacific Cedar Springs,GA Hwy 273 W,Cedar Springs,GA,31732,Early,31.166000,-85.095100,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,32213,NR,7,Industrial CHP,,Y,93-114-000,Y,93-114-000,N,,Y,N,OP,Georgia Power Co,7140,GA,115.00,,,Southern Natural Gas Co.
